food_category_id,FF Food description,SR Food description,Unit,SR Mean per 100g,FF Mean per 100g,SReachcat_x,SReachcat_y
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.05494,0.065928,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.0,0.01072,1.54368,1.5634316
11,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.01943,0.0010854,0.80333,0.04605446
11,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.01206,0.0015075,0.80333,0.04605446
11,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.00469,0.00058156,0.80333,0.04605446
16,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.03283,0.018224,0.06566,0.036448
14,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.02814,0.024857,0.02814,0.024857
11,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.00938,0.0,0.80333,0.04605446
11,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.00335,0.0,0.80333,0.04605446
11,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.00201,0.0,0.80333,0.04605446
11,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.75241,0.04288,0.80333,0.04605446
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.00067,0.014539,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.00134,0.020837,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.0,0.0,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.01072,0.0,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.0,0.0058156,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.01474,0.0,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.17353,0.11859,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.0134,0.0,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.0737,0.0,1.54368,1.5634316
1,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.01407,0.0,1.54368,1.5634316
16,"Vitamin D (D2 + D3), International Units",Vitamin D,G,0.03283,0.018224,0.06566,0.036448
1,Vitamin B-6,Vitamin B-6,G,3.7e-05,6e-05,0.0018800000000000002,0.00166597
1,Vitamin B-6,Vitamin B-6,G,3.7e-05,5.8e-05,0.0018800000000000002,0.00166597
1,Vitamin B-6,Vitamin B-6,G,3.8e-05,6.1e-05,0.0018800000000000002,0.00166597
1,Vitamin B-6,Vitamin B-6,G,5.4e-05,5.6e-05,0.0018800000000000002,0.00166597
1,Vitamin B-6,Vitamin B-6,G,3.7e-05,6e-05,0.0018800000000000002,0.00166597
1,Vitamin B-6,Vitamin B-6,G,3.7e-05,5.8e-05,0.0018800000000000002,0.00166597
1,Vitamin B-6,Vitamin B-6,G,3.8e-05,6.1e-05,0.0018800000000000002,0.00166597
1,Vitamin B-6,Vitamin B-6,G,3.6e-05,6.1e-05,0.0018800000000000002,0.00166597
16,Vitamin B-6,Vitamin B-6,G,0.0002,0.000143,0.001774,0.0015919999999999999
12,Vitamin B-6,Vitamin B-6,G,0.000136,7.5e-05,0.002494,0.00249815
11,Vitamin B-6,Vitamin B-6,G,0.000271,0.000147,0.004233,0.00388235
11,Vitamin B-6,Vitamin B-6,G,0.000117,0.000127,0.004233,0.00388235
11,Vitamin B-6,Vitamin B-6,G,3.5e-05,3.4e-05,0.004233,0.00388235
1,Vitamin B-6,Vitamin B-6,G,8.1e-05,8.1e-05,0.0018800000000000002,0.00166597
1,Vitamin B-6,Vitamin B-6,G,5.4e-05,5.6e-05,0.0018800000000000002,0.00166597
9,Vitamin B-6,Vitamin B-6,G,2e-05,0.0,0.00107,0.00074894
12,Vitamin B-6,Vitamin B-6,G,0.000804,0.00076,0.002494,0.00249815
18,Vitamin B-6,Vitamin B-6,G,8.7e-05,9.2e-05,8.7e-05,9.2e-05
2,Vitamin B-6,Vitamin B-6,G,7e-05,6.9e-05,7e-05,6.9e-05
9,Vitamin B-6,Vitamin B-6,G,6.3e-05,6.1e-05,0.00107,0.00074894
9,Vitamin B-6,Vitamin B-6,G,2.5e-05,2.5e-05,0.00107,0.00074894
1,Vitamin B-6,Vitamin B-6,G,6.6e-05,6.9e-05,0.0018800000000000002,0.00166597
1,Vitamin B-6,Vitamin B-6,G,5.7e-05,5.7e-05,0.0018800000000000002,0.00166597
1,Vitamin B-6,Vitamin B-6,G,0.0001,9e-05,0.0018800000000000002,0.00166597
1,Vitamin B-6,Vitamin B-6,G,6.3e-05,6.4e-05,0.0018800000000000002,0.00166597
1,Vitamin B-6,Vitamin B-6,G,5e-05,5e-05,0.0018800000000000002,0.00166597
1,Vitamin B-6,Vitamin B-6,G,4.3e-05,9.9e-05,0.0018800000000000002,0.00166597
1,Vitamin B-6,Vitamin B-6,G,3.7e-05,6e-05,0.0018800000000000002,0.00166597
