food_category_id,FF Food description,SR Food description,Unit,SR Mean per 100g,FF Mean per 100g
7,Vitamin B-6,Vitamin B-6,G,0.000192,0.00015
7,Vitamin B-6,Vitamin B-6,G,0.00033,0.000343
1,Vitamin B-6,Vitamin B-6,G,0.000036,0.000061
7,Vitamin B-6,Vitamin B-6,G,0.000208,0.000335
11,Vitamin B-6,Vitamin B-6,G,0.000175,0.000191
1,"Carbohydrate, by difference",Vitamin B-6,G,0.00017,0.000063
20,Vitamin B-6,Vitamin B-6,G,0.000044,0.000066
20,Vitamin B-6,Vitamin B-6,G,0.000044,0.000079
20,Vitamin B-6,Vitamin B-6,G,0.000044,0.000085
20,Vitamin B-6,Vitamin B-6,G,0.000407,0.000268
20,Vitamin B-6,Vitamin B-6,G,0.000037,0.000079
20,Vitamin B-6,Vitamin B-6,G,0.000436,0.000052
1,Vitamin B-6,Vitamin B-6,G,0.000003,0
16,Vitamin B-6,Vitamin B-6,G,0.000574,0.000618
16,Vitamin B-6,Vitamin B-6,G,0.000461,0.00034
20,Vitamin B-6,Vitamin B-6,G,0.000736,0.000132
9,Vitamin B-6,Vitamin B-6,G,0.000367,0.000209
9,Vitamin B-6,Vitamin B-6,G,0.000034,0.00002131
9,Vitamin B-6,Vitamin B-6,G,0.000045,0.00003544
9,Vitamin B-6,Vitamin B-6,G,0.000049,0.00003175
9,Vitamin B-6,Vitamin B-6,G,0.000037,0.00002788
9,Vitamin B-6,Vitamin B-6,G,0.000051,0.00003275
11,Vitamin B-6,Vitamin B-6,G,0.00011,0.00009888
11,Vitamin B-6,Vitamin B-6,G,0.000293,0.0001593
11,Vitamin B-6,Vitamin B-6,G,0.000104,0.00007683
16,Vitamin B-6,Vitamin B-6,G,0.000049,0.00005525
14,Vitamin B-6,Vitamin B-6,G,0.000015,0
11,Vitamin B-6,Vitamin B-6,G,0.000195,0.0002143
20,Vitamin B-6,Vitamin B-6,G,0.00023,0.0002355
9,Vitamin B-6,Vitamin B-6,G,0.000018,0.00001388
9,Vitamin B-6,Vitamin B-6,G,0.000076,0.00004288
9,Vitamin B-6,Vitamin B-6,G,0.000032,0.00003869
9,Vitamin B-6,Vitamin B-6,G,0.000052,0.00000925
11,Vitamin B-6,Vitamin B-6,G,0.00007,0.00007613
9,Vitamin B-6,Vitamin B-6,G,0.00004,0.00004113
11,Vitamin B-6,Vitamin B-6,G,0.000122,0.00009692
11,Vitamin B-6,Vitamin B-6,G,0.0001,0.0001188
11,Vitamin B-6,Vitamin B-6,G,0.00011,0.0001125
11,Vitamin B-6,Vitamin B-6,G,0.000056,0.000071
11,Vitamin B-6,Vitamin B-6,G,0.000138,0.0001456
11,Vitamin B-6,Vitamin B-6,G,0.000105,0.0001146
11,Vitamin B-6,Vitamin B-6,G,0.000224,0.0002468
11,Vitamin B-6,Vitamin B-6,G,0.000168,0.0002918
11,Vitamin B-6,Vitamin B-6,G,0.000291,0.0003027
1,Vitamin B-6,Vitamin B-6,G,0.000034,0.00003931
1,Vitamin B-6,Vitamin B-6,G,0.000032,0.00004506
1,Vitamin B-6,Vitamin B-6,G,0.000063,0.00004394
1,Vitamin B-6,Vitamin B-6,G,0.000424,0.00003831
